mat_partcode,mat_partname,mat_maker,unit
AVSS 0.3f BLACK,Wire,XINYA,m
AVSS 0.3f RED,Wire,XINYA,m
AVSS 0.3f YELLOW,Wire,XINYA,m
6189-1132,Housing,SUMITOMO DENSO,pcs
8100-3455,Terminal,SUMITOMO DENSO,pcs
7188-3377-40_NN,Housing,YAZAKI,m
7114-7386-02_NN,Terminal,YAZAKI,m
234W 0.13x19x20m BLACK,Tape,DENKA,m
234W 0.13x19mm YELLOW,Tape,DENKA,m
AH-3 AWG4 BLACK,Tube,IWASE,m
AH-6 AWG6/16 BLACK,Tube,IWASE,m
7165-1198,Wire Seal,SUMITOMO DENSO,pcs
6189-1129,Housing,SUMITOMO DENSO,pcs
29014-M2,Splice Terminal,NIPPON TANSHI,pcs
AH-3 AWG6 BLACK,Tube,IWASE,m
AVSS 1.25F WHITE,Wire ,XINYA,m
AVSS 1.25F BLUE,Wire ,XINYA,m
AVSS 0.5F BLACK,Wire ,XINYA,m
AVSS 0.5F WHITE,Wire ,XINYA,m
AVSS 0.5F LIGHT GREEN,Wire ,XINYA,m
AVSS 0.5F BLUE,Wire ,XINYA,m
AVSS 0.5F YELLOW,Wire ,XINYA,m
7116-7389-02_NN,Terminal,YAZAKI,pcs
7116-7390-02_NN,Terminal,YAZAKI,pcs
7116-1180P_NN,Terminal,YAZAKI,pcs
7116-1181P_NN,Terminal,YAZAKI,pcs
7116-4021P_NN,Terminal,YAZAKI,pcs
7123-1460_NN,Housing,YAZAKI,pcs
7283-1020_NN,Housing,YAZAKI,pcs
AH-6 AWG0 BLACK,Tube,IWASE,m
234W 0.13x19mm WHITE,Tape,DENKA,m
AVSS 0.5F BLUE/WHITE,Wire,XINYA,m
AVSS 1.25F RED,Wire,XINYA,m
AVSS 0.3f PINK,Wire,XINYA,m
AVSS 1.25F ORANGE,Wire,XINYA,m
AVSS 0.5F ORANGE,Wire,XINYA,m
AVSS 1.25F BLACK,Wire,XINYA,m
AVSS 0.5F BLACK/BLUE,Wire,XINYA,m
AVSS 2.0F GREEN,Wire,XINYA,m
6098-6203,Housing,SUMITOMO,pcs
7186-8849-30_NN,Housing,YAZAKI,pcs
7188-3378_NN,Housing,YAZAKI,pcs
7188-3376-90_NN,Housing,YAZAKI,pcs
7188-3379-80_NN,Housing,YAZAKI,pcs
8240-0213,Terminal,SUMITOMO,pcs
8240-0214,Terminal,SUMITOMO,pcs
8240-0215,Terminal,SUMITOMO,pcs
7114-4111-02_NN,Terminal,YAZAKI,pcs
7114-7388-02_NN,Terminal,YAZAKI,pcs
7114-7387-02_NN,Terminal,YAZAKI,pcs
82711-16830_NN,Clamp,DAIWA KASEI,pcs
AH-3 AWG1 BLACK,Tube,IWASE,pcs
AH-3 AWG2 BLACK,Tube,IWASE,pcs
59016-M2,Splice Terminal,NIPPON TANSHI,pcs
POP-7947-2 NATURAL_NN,Clip Coupler,POP RIVET,pcs
7187-8847_NN,Housing,YAZAKI,pcs
AVSS 1.25F YELLOW,Wire ,XINYA,m
AVSS 0.5f PINK,Wire,XINYA,m
CDP-B905-1 Ø5 Slit Black,CORRUGATED TUBE,NISSEI ECO,m
51608 BLACK 19mm_NN,Tape,TESA,m
AH-6 AWG7/16 BLACK,Tube,IWASE,m
CDP-B913-1 Ø13 Slit Black,CORRUGATED TUBE,NISSEI ECO,m
AVSS 2.0F RED,Wire,XINYA,m
AVSS 2.0F WHITE,Wire,XINYA,m
AVSS 2.0F BLACK,Wire,XINYA,m
AVSS 2.0F BLUE,Wire,XINYA,m
AVSS 0.5F VIOLET,Wire,XINYA,m
7223-6717_NN,Housing,YAZAKI,pcs
MT095-94280_NN,Terminal,FURUKAWA,pcs
7116-4022_NN,Terminal,YAZAKI,pcs
6098-2830,housing,SUMITOMO,pcs
5-968075-2,Terminal,TYCO,pcs
7186-8846 WHITE,Housing,YAZAKI,m
7187-8854-30,Housing,YAZAKI,pcs
AH-6 AWG8/16,Tube,IWASE,m
968075-2_NN,Terminal,YAZAKI,pcs
7186-8849_NN,Housing,YAZAKI,pcs
7186-8847_NN,Housing,YAZAKI,pcs
